Method,Name,Error,Occurrences
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2251 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2251)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3082 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3082)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2998 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2998)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2824 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2824)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2371 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2371)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2835 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2835)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3147 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3147)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2495 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2495)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3500 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3500)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3760 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3760)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2435 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2435)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2040 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2040)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1952 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1952)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2471 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2471)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2412 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2412)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1874 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1874)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 4664 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=4664)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2060 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2060)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 5003 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=5003)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1903 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1903)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2996 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2996)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1929 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1929)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",2
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2266 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2266)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2812 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2812)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3012 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3012)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",2
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2093 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2093)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2614 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2614)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2892 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2892)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2845 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2845)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
